X,Y,Z,Name,description,COL5A0EF95909EAA724,COL5A0EF95909BD88AB
23.009023,39.340641,0,ΑΓΡΙΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.824595,41.085332,0,ΑΓΡΙΑΝΗΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.282029,39.041945,0,ΑΓΡΙΔΙ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.593663,37.209357,0,ΑΓΡΙΛΙ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.388904,38.92859,0,ΑΓΡΙΛΙΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.587809,37.631513,0,ΑΓΡΙΛΙΤΣΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.41029,38.623911,0,ΑΓΡΙΝΙΟ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.303329,39.021806,0,ΑΓΡΙΟΒΟΤΑΝΟ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.504845,40.84607,0,ΑΓΡΟΣΥΚΕΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.789367,40.705216,0,ΑΓΧΙΑΛΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.456195,41.015133,0,ΑΔΕΛΦΙΚΟ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.602901,40.673282,0,ΑΔΕΝΔΡΟ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
24.267502,41.137132,0,ΑΔΡΙΑΝΗ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.760737,39.333024,0,ΑΕΡΙΝΟ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
27.150305,35.427682,0,ΑΕΡΟΔΡΟΜΙΟ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.421716,38.163483,0,ΑΕΡΟΔΡΟΜΙΟ-116ΠΜ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
20.646586,40.045586,0,ΑΕΤΟΠΕΤΡΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.079819,38.708448,0,ΑΕΤΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.831291,37.24508,0,ΑΕΤΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.551468,40.661192,0,ΑΕΤΟΥ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
25.998587,40.899096,0,ΑΕΤΟΧΩΡΙ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.4664,39.604845,0,ΑΗΔΟΝΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.175536,38.701275,0,ΑΘ.ΔΙΑΚΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.726586,37.979561,0,ΑΘΗΝΑΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.92628,37.817602,0,ΑΘΙΚΙΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.596674,40.825697,0,ΑΘΥΡΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.817263,40.164782,0,ΑΙΑΝΗΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.478357,37.918143,0,ΑΙΑΝΤΕΙΟΥ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.674592,37.994463,0,ΑΙΓΑΛΕΩ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
25.288517,41.090312,0,ΑΙΓΕΙΡΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
25.977293,36.899424,0,ΑΙΓΙΑΛΗ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.512681,36.794756,0,ΑΙΓΙΕΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.429644,37.747941,0,ΑΙΓΙΝΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.085218,38.251325,0,ΑΙΓΙΟΥ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.226814,38.150372,0,ΑΙΓΟΣΘΕΝΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.745803,39.24659,0,ΑΙΔΙΝΙΟ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
25.952009,41.018722,0,ΑΙΣΥΜΗ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.354346,38.436034,0,ΑΙΤΩΛΙΚΟ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.421966,39.636192,0,ΑΚΑΔΗΜΙΑΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
24.581845,35.166075,0,ΑΚΟΥΜΙΩΝ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.221945,38.455113,0,ΑΚΡΑΙΦΝΙΟ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
26.309456,39.026253,0,ΑΚΡΑΣΙ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.316691,38.152821,0,ΑΚΡΑΤΑΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.963813,39.998243,0,ΑΚΡΗ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.743574,41.145465,0,ΑΚΡΙΤΑΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.725013,37.964376,0,ΑΚΡΟΠΟΛΗΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
